id,name,country,marketcap,revenue,earnings,employees,dividends,pe_ratio
1,Microsoft,USA,3244628397320.5,241296614328.86,105886529154.9,228000,0.57,37.2272
2,Apple,USA,2956024255801.3,349987324580.55,111528294849.63,164000,0.9,35.2364
3,Amazon,USA,2115547159346.3,573887566808.94,72932690517.426,1560000,1.08,34.6188
4,Alphabet (Google),USA,2195671630376.9,318103254480,119972528641.1,185719,2.0,22.4019
6,Visa,USA,581612535665.73,33311855649.829,20849780219.674,28800,0.14,34.1327
7,Commercial Metals Company,USA,5551768179.855,6578015298.5541,80131573.26591,13178,1.58,175.485
8,Johnson & Johnson,USA,361908288068.86,77622028179.288,24143879333.377,138100,0.76,18.6287
9,Walmart,USA,656933939150.85,586776179253.82,23912624325.395,2100000,0.03,41.4267
10,Berkshire Hathaway,USA,923480837186.35,340155560741.19,69886119912.267,392400,0.84,14.6458
11,Mastercard,USA,457200580119.93,25901417394.042,14097990486.622,35300,0.03,41.3212
12,Procter & Gamble,USA,312271238887.5,72189248491.764,18049881623.03,108000,0.83,24.0572
13,Bank of America,USA,320311246599.26,89522239590.049,25897134893.894,213000,0.22,14.5925
14,AT&T,USA,177237503334.75,106192299665.45,16125326056.6,139970,0.41,16.4432
15,Tesla,USA,955803705764.19,79414682741.165,6897394738.0781,125665,1.04,183.058
16,ICBC,China,292085146568.65,96240843635.045,49809502269.28,419252,0.35,5.51516
17,TSMC,Taiwan,1058456027495.0,75670780147.453,36755242718.685,Ni podatka,0.43,34.9406
18,Intel,USA,93459665934.693,45454456568.956,,108900,0.32,2135.2545737028
19,Home Depot,USA,347371105416.42,139568392817.5,18627162642.956,470000,0.19,26.475
20,Coca-Cola,USA,251981340866.37,40308604391.336,14326675994.515,69700,0.68,24.1555
21,Walt Disney,USA,181157017618.9,80969230294.824,10992321379.423,177080,0.38,18.41
22,Novartis,Switzerland,210016006028.54,47266810631.514,13368252461.433,75883,0.33,18.329
23,Pepsico,USA,172351262811.79,78582164712.429,8927299808.1446,319000,0.45,26.7233
24,Pfizer,USA,119793981904.93,54672966387.153,11446266395.092,81000,1.87,13.0159
25,Cisco,USA,235488505694.08,47641101144.433,10397910358.906,90400,1.45,28.2236
26,Toyota,Japan,221308614619.03,279427162612.26,33331126900.494,383853,0.77,8.22607
27,Shell,UK,184148999544.13,232976573041.68,22619309280.753,96000,0.3,16.9564
28,Boeing,USA,152948874948.22,64517577726.96,,172000,0.23,20227.104698181
29,NVIDIA,USA,3763387308974.8,127203101890.68,76145422128.32,36000,0.79,57.379
30,AMD,USA,234319888173.55,25352400875.092,2121550573.2298,28000,0.87,95.7841
31,Adobe,USA,128603329133.54,19357757168.174,7320505752.6827,30709,0.67,22.5596
32,Oracle,USA,578152977629.64,49162245196.939,15191741024.375,159000,1.91,54.8676
33,China Mobile,China,214364994753.36,122243808356.94,20831279819.036,455405,0.06,14.6879
34,Netflix,USA,448185145773.54,35710212472.113,10662226268.029,14000,0.65,51.3104
35,SAP,Germany,274705988906.82,33901887147.588,9863454340.4579,108187,0.11,44.6257
36,McDonald,USA,190829430080.0,22320390770.435,9054918312.5496,150000,0.25,26.6168
37,Novo Nordisk,Denmark,211646951356.64,39463974444.938,19169841061.687,77406,0.58,16.2467
38,Costco,USA,358931770395.56,230206651946.07,9060057312.727,333000,0.48,53.4782
39,Abbott Laboratories,USA,195833785492.67,36922859774.47,6764637233.4957,114000,0.07,16.2978
